year_month,"American processed cheese, per lb. (453.6 gm)","Bananas, per lb. (453.6 gm)","Beans, dried, any type, all sizes, per lb. (453.6 gm)","Cheddar cheese, natural, per lb. (453.6 gm)","Chicken breast, boneless, per lb. (453.6 gm)","Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)","Eggs, grade A, large, per doz.","Grapefruit, per lb. (453.6 gm)","Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)","Lemons, per lb. (453.6 gm)","Lettuce, iceberg, per lb. (453.6 gm)","Lettuce, romaine, per lb. (453.6 gm)","Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml)","Milk, fresh, whole, fortified, per gal. (3.8 lit)","Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)","Oranges, Navel, per lb. (453.6 gm)","Potato chips, per 16 oz.","Potatoes, white, per lb. (453.6 gm)","Strawberries, dry pint, per 12 oz. (340.2 gm)","Sugar, white, all sizes, per lb. (453.6 gm)","Tomatoes, field grown, per lb. (453.6 gm)","Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz)"
2015-01,4.944,0.583,1.452,5.401,3.438,4.738,2.113,1.037,5.089,1.86,1.174,2.047,1.295,3.758,2.732,1.195,4.263,0.668,2.454,0.644,2.089,12.912
2015-02,4.598,0.591,1.484,5.48,3.511,4.91,2.088,1.026,4.955,1.868,1.138,2.195,1.287,3.496,2.734,1.185,4.298,0.646,2.09,0.659,1.849,12.37
2015-03,4.558,0.593,1.472,5.384,3.522,4.827,2.133,0.97,4.889,1.664,1.05,2.007,1.318,3.463,2.678,1.201,4.4,0.639,1.664,0.66,1.819,12.37
2015-04,4.543,0.597,1.51,5.384,3.504,4.99,2.065,1.067,4.791,1.75,0.993,1.868,1.315,3.397,2.662,1.165,4.412,0.645,1.852,0.663,1.847,12.335
2015-05,4.417,0.582,1.486,5.312,3.408,4.715,1.962,1.07,4.696,1.874,1.055,1.904,1.32,3.387,2.709,1.208,4.427,0.646,2.087,0.66,1.74,12.044
2015-06,4.265,0.574,1.486,5.256,3.388,4.686,2.57,1.105,4.62,2.127,1.074,1.977,1.307,3.366,2.68,1.274,4.442,0.647,1.735,0.646,1.708,12.021
2015-07,4.352,0.581,1.483,5.376,3.378,4.79,2.57,1.117,4.466,2.254,1.049,1.848,1.306,3.43,2.658,1.38,4.48,0.668,1.798,0.656,1.777,12.016
2015-08,4.346,0.58,1.484,5.336,3.406,4.808,2.943,1.143,4.597,2.088,1.096,1.79,1.305,3.389,2.739,1.493,4.411,0.661,2.283,0.654,1.737,12.009
2015-09,4.439,0.58,1.469,5.382,3.377,4.669,2.966,1.171,4.791,2.091,1.223,1.926,1.309,3.392,2.732,1.48,4.504,0.65,2.385,0.656,1.775,11.965
2015-10,4.331,0.577,1.482,5.478,3.356,4.609,2.808,1.21,4.626,2.164,1.245,1.953,1.34,3.338,2.753,1.514,4.355,0.655,2.523,0.662,1.844,12.416
2015-11,4.333,0.575,1.514,5.433,3.35,4.412,2.664,1.091,4.684,2.059,1.361,2.116,1.345,3.299,2.715,1.329,4.49,0.633,,0.641,1.977,12.389
2015-12,4.345,0.58,1.511,5.328,3.282,4.486,2.751,1.085,4.725,1.978,1.48,2.205,1.347,3.31,2.733,1.229,4.413,0.637,3.502,0.642,1.932,12.179
2016-01,4.374,0.581,1.466,5.411,3.251,4.498,2.328,1.021,4.913,1.956,1.417,2.06,1.356,3.313,2.731,1.196,4.444,0.659,2.92,0.662,2.528,12.18
2016-02,4.436,0.573,1.485,5.369,3.302,4.447,2.267,0.985,4.851,1.922,1.213,2.03,1.353,3.23,2.752,1.194,4.421,0.659,3.149,0.648,2.316,12.233
2016-03,4.462,0.586,1.488,5.364,3.271,4.405,2.081,1.036,4.85,1.917,1.065,1.894,1.363,3.187,2.758,1.188,4.622,0.652,2.031,0.632,1.941,12.211
2016-04,4.434,0.574,1.468,5.399,3.251,4.428,1.793,1.074,4.915,2.027,1.018,1.887,1.365,3.155,2.747,1.176,4.544,0.652,2.152,0.655,1.862,12.375
2016-05,4.325,0.57,1.396,5.365,3.25,4.443,1.684,1.155,4.801,2.035,1.089,1.992,1.351,3.157,2.796,1.148,4.462,0.679,2.252,0.651,1.695,12.031
2016-06,4.31,0.569,1.408,5.269,3.228,4.481,1.491,1.206,4.71,2.115,1.015,2.029,1.35,3.115,2.772,1.186,4.477,0.688,1.924,0.641,1.709,12.511
2016-07,4.373,0.567,1.404,5.184,3.21,4.428,1.546,1.28,4.691,2.17,0.995,1.953,1.347,3.062,2.768,1.268,4.444,0.699,1.942,0.646,1.635,12.393
2016-08,4.273,0.562,1.364,5.272,3.218,4.316,1.455,1.319,4.71,2.161,0.994,1.862,1.346,3.141,2.774,1.365,4.427,0.711,2.169,0.653,1.685,12.4
2016-09,4.396,0.575,1.37,5.023,3.244,4.372,1.471,,4.695,2.171,0.95,1.81,1.347,3.229,2.81,1.41,4.44,0.702,2.021,0.653,1.786,12.53
2016-10,4.484,0.57,1.35,5.352,3.305,4.309,1.39,,4.712,2.019,0.949,1.794,1.355,3.292,2.55,1.412,4.507,0.691,2.216,0.63,1.994,12.498
2016-11,4.322,0.573,1.384,4.914,3.263,4.306,1.321,1.309,4.615,1.971,1.042,1.901,1.354,3.28,2.53,1.239,4.391,0.697,3.165,0.618,1.984,12.294
2016-12,4.214,0.576,1.364,4.895,3.2,4.281,1.383,1.252,4.682,1.985,1.016,1.873,1.358,3.29,2.571,1.169,4.353,0.686,3.282,0.614,1.972,12.355
2017-01,4.322,0.573,1.35,4.933,3.218,4.468,1.599,1.163,4.834,1.937,0.985,1.802,1.363,3.318,2.608,1.186,4.39,0.696,2.612,0.632,2.048,12.391
2017-02,4.293,0.573,1.357,4.967,3.195,4.583,1.464,1.125,4.87,1.97,1.045,1.944,1.355,3.3,2.653,1.191,4.334,0.703,2.367,0.637,1.93,12.363
2017-03,4.271,0.571,1.371,4.799,3.291,4.65,1.404,1.124,4.751,1.914,1.025,2.038,1.362,3.315,2.661,1.18,4.365,0.689,2.318,0.631,1.943,12.531
2017-04,4.352,0.571,1.354,4.794,3.289,4.622,1.409,1.213,4.659,1.933,1.231,2.439,1.372,3.259,2.645,1.174,4.369,0.698,2.204,0.628,1.902,12.52
2017-05,4.393,0.564,1.36,4.748,3.208,4.597,1.414,1.258,4.631,1.934,1.151,2.325,1.388,3.242,2.579,1.226,4.439,0.706,2.06,0.647,1.867,12.403
2017-06,4.306,0.572,1.35,4.797,3.215,4.545,1.332,1.315,4.629,2.022,1.011,2.179,1.382,3.213,2.582,1.346,4.428,0.733,1.952,0.659,1.873,12.385
2017-07,4.282,0.565,1.354,4.851,3.189,4.335,1.333,1.333,4.606,2.093,0.957,2.027,1.382,3.219,2.827,1.462,4.391,0.752,2.036,0.659,1.952,12.511
