seriesid,item_name,year_month,value
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-12,0.548
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-11,0.552
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-10,0.566
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-09,0.573
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-08,0.574
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-07,0.574
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-06,0.575
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-05,0.570
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-04,0.574
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-03,0.565
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-02,0.558
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2024-01,0.554
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-12,0.538
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-11,0.541
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-10,0.562
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-09,0.565
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-08,0.566
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-07,0.564
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-06,0.551
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-05,0.544
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-04,0.542
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-03,0.546
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-02,0.550
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2023-01,0.540
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-12,0.522
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-11,0.524
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-10,0.534
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-09,0.556
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-08,0.549
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-07,0.533
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-06,0.498
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-05,0.456
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-04,0.455
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-03,0.448
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-02,0.428
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2022-01,0.424
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-12,0.388
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-11,0.386
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-10,0.396
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-09,0.382
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-08,0.371
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-07,0.368
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-06,0.356
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-05,0.439
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-04,0.437
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-03,0.436
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-02,0.440
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2021-01,0.446
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-12,0.450
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-11,0.445
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-10,0.452
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-09,0.451
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-08,0.459
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-07,0.461
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-06,0.468
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-05,0.461
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-03,0.442
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-02,0.438
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2020-01,0.438
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-12,0.429
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-11,0.417
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-10,0.432
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-09,0.449
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-08,0.450
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-07,0.454
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-06,0.448
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-05,0.454
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-04,0.434
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-03,0.445
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-02,0.443
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2019-01,0.439
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-12,0.437
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-11,0.433
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-10,0.453
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-09,0.467
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-08,0.464
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-07,0.468
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-06,0.469
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-05,0.469
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-04,0.472
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-03,0.468
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-02,0.470
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2018-01,0.471
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-12,0.462
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-11,0.469
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-10,0.500
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-09,0.505
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-08,0.512
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-07,0.512
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-06,0.507
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-05,0.517
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-04,0.516
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-03,0.531
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-02,0.526
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2017-01,0.530
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-12,0.503
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-11,0.507
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-10,0.523
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-09,0.547
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-08,0.546
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-07,0.543
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-06,0.529
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-05,0.525
