year_month,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_x","All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_x","All Pork Chops, per lb. (453.6 gm)_x","All Uncooked Beef Roasts, per lb. (453.6 gm)_x","All Uncooked Beef Steaks, per lb. (453.6 gm)_x","All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)_x","Bacon, sliced, per lb. (453.6 gm)_x","Beef for stew, boneless, per lb. (453.6 gm)_x","Bread, white, pan, per lb. (453.6 gm)_x","Bread, whole wheat, pan, per lb. (453.6 gm)_x","Chicken, fresh, whole, per lb. (453.6 gm)_x","Chops, boneless, per lb. (453.6 gm)_x","Chops, center cut, bone-in, per lb. (453.6 gm)_x","Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)_x","Cookies, chocolate chip, per lb. (453.6 gm)_x","Flour, white, all purpose, per lb. (453.6 gm)_x","Ground beef, 100% beef, per lb. (453.6 gm)_x","Ground beef, lean and extra lean, per lb. (453.6 gm)_x","Ground chuck, 100% beef, per lb. (453.6 gm)_x","Ham, boneless, excluding canned, per lb. (453.6 gm)_x","Rice, white, long grain, uncooked, per lb. (453.6 gm)_x","Round roast, USDA Choice, boneless, per lb. (453.6 gm)_x","Spaghetti and macaroni, per lb. (453.6 gm)_x","Steak, round, USDA Choice, boneless, per lb. (453.6 gm)_x","Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)_x","All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_y","All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_y","All Pork Chops, per lb. (453.6 gm)_y","All Uncooked Beef Roasts, per lb. (453.6 gm)_y","All Uncooked Beef Steaks, per lb. (453.6 gm)_y","All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)_y","Bacon, sliced, per lb. (453.6 gm)_y","Beef for stew, boneless, per lb. (453.6 gm)_y","Bread, white, pan, per lb. (453.6 gm)_y","Bread, whole wheat, pan, per lb. (453.6 gm)_y","Chicken, fresh, whole, per lb. (453.6 gm)_y","Chops, boneless, per lb. (453.6 gm)_y","Chops, center cut, bone-in, per lb. (453.6 gm)_y","Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)_y","Cookies, chocolate chip, per lb. (453.6 gm)_y","Flour, white, all purpose, per lb. (453.6 gm)_y","Ground beef, 100% beef, per lb. (453.6 gm)_y","Ground beef, lean and extra lean, per lb. (453.6 gm)_y","Ground chuck, 100% beef, per lb. (453.6 gm)_y","Ham, boneless, excluding canned, per lb. (453.6 gm)_y","Rice, white, long grain, uncooked, per lb. (453.6 gm)_y","Round roast, USDA Choice, boneless, per lb. (453.6 gm)_y","Spaghetti and macaroni, per lb. (453.6 gm)_y","Steak, round, USDA Choice, boneless, per lb. (453.6 gm)_y","Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)_y"
2015-01,3.211,2.991,3.988,5.838,7.53,4.734,5.589,5.712,1.479,1.948,1.546,4.484,4.167,5.624,3.428,0.545,4.235,6.032,4.375,4.405,0.692,5.62,1.264,6.052,8.08,3.211,2.991,3.988,5.838,7.53,4.734,5.589,5.712,1.479,1.948,1.546,4.484,4.167,5.624,3.428,0.545,4.235,6.032,4.375,4.405,0.692,5.62,1.264,6.052,8.08
2015-02,3.221,2.928,3.962,5.844,7.569,4.684,5.472,5.552,1.435,2.024,1.55,4.468,4.138,5.546,3.477,0.525,4.238,6.184,4.403,4.428,0.689,5.657,1.319,6.18,8.194,3.221,2.928,3.962,5.844,7.569,4.684,5.472,5.552,1.435,2.024,1.55,4.468,4.138,5.546,3.477,0.525,4.238,6.184,4.403,4.428,0.689,5.657,1.319,6.18,8.194
2015-03,3.176,2.904,3.867,5.872,7.661,4.709,5.367,5.595,1.44,2.042,1.545,4.196,4.224,5.563,3.486,0.518,4.2,6.099,4.364,4.314,0.67,5.736,1.392,6.209,8.372,3.176,2.904,3.867,5.872,7.661,4.709,5.367,5.595,1.44,2.042,1.545,4.196,4.224,5.563,3.486,0.518,4.2,6.099,4.364,4.314,0.67,5.736,1.392,6.209,8.372
2015-04,2.971,2.836,3.813,5.864,7.684,4.702,5.211,5.654,1.454,2.008,1.539,4.227,4.141,5.659,3.335,0.509,4.231,6.105,4.323,4.114,0.67,5.644,1.337,6.157,8.329,2.971,2.836,3.813,5.864,7.684,4.702,5.211,5.654,1.454,2.008,1.539,4.227,4.141,5.659,3.335,0.509,4.231,6.105,4.323,4.114,0.67,5.644,1.337,6.157,8.329
2015-05,3.045,2.804,3.786,5.915,7.773,4.59,4.94,5.581,1.463,2.041,1.483,4.273,4.132,5.7,3.212,0.52,4.136,6.195,4.308,4.164,0.676,5.653,1.335,6.185,8.816,3.045,2.804,3.786,5.915,7.773,4.59,4.94,5.581,1.463,2.041,1.483,4.273,4.132,5.7,3.212,0.52,4.136,6.195,4.308,4.164,0.676,5.653,1.335,6.185,8.816
2015-06,3.02,2.784,3.824,5.927,7.917,4.696,5.059,5.7,1.467,1.957,1.515,4.326,3.965,5.704,3.286,0.519,4.221,6.111,4.324,4.105,0.691,5.638,1.36,6.183,8.842,3.02,2.784,3.824,5.927,7.917,4.696,5.059,5.7,1.467,1.957,1.515,4.326,3.965,5.704,3.286,0.519,4.221,6.111,4.324,4.105,0.691,5.638,1.36,6.183,8.842
2015-07,3.031,2.833,3.917,5.905,7.962,4.738,5.184,5.684,1.447,1.963,1.487,4.47,4.062,5.677,3.305,0.515,4.2,6.184,4.266,4.098,0.673,5.685,1.325,6.243,8.837,3.031,2.833,3.917,5.905,7.962,4.738,5.184,5.684,1.447,1.963,1.487,4.47,4.062,5.677,3.305,0.515,4.2,6.184,4.266,4.098,0.673,5.685,1.325,6.243,8.837
2015-08,3.103,2.841,3.863,5.871,7.91,4.7,5.41,5.587,1.42,1.956,1.428,4.396,4.042,5.639,3.233,0.524,4.159,6.116,4.222,4.121,0.669,5.688,1.351,6.147,8.697,3.103,2.841,3.863,5.871,7.91,4.7,5.41,5.587,1.42,1.956,1.428,4.396,4.042,5.639,3.233,0.524,4.159,6.116,4.222,4.121,0.669,5.688,1.351,6.147,8.697
2015-09,3.124,2.819,3.88,5.785,7.89,4.684,5.734,5.608,1.432,2.008,1.415,4.357,4.107,5.513,3.366,0.517,4.126,6.139,4.195,4.131,0.662,5.601,1.282,6.184,8.864,3.124,2.819,3.88,5.785,7.89,4.684,5.734,5.608,1.432,2.008,1.415,4.357,4.107,5.513,3.366,0.517,4.126,6.139,4.195,4.131,0.662,5.601,1.282,6.184,8.864
2015-10,3.155,2.803,3.875,5.762,7.836,4.648,5.899,5.579,1.418,1.978,1.43,4.355,4.106,5.546,3.391,0.511,4.083,6.097,4.119,4.232,0.69,5.523,1.297,6.209,8.802,3.155,2.803,3.875,5.762,7.836,4.648,5.899,5.579,1.418,1.978,1.43,4.355,4.106,5.546,3.391,0.511,4.083,6.097,4.119,4.232,0.69,5.523,1.297,6.209,8.802
